Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1706106112.388014,1592,0,1
1,NewOrder,1706106112.389612,3526,0,1
1,NewOrder,1706106112.393145,2338,0,1
1,NewOrder,1706106112.395489,1731,0,1
2,Payment,1706106112.397225,1672,0,1
2,Payment,1706106112.398904,1599,0,1
4,Delivery,1706106112.400509,5289,0,1
3,OrderStatus,1706106112.405805,1220,0,1
2,Payment,1706106112.407032,788,0,1
3,OrderStatus,1706106112.407826,379,0,1
2,Payment,1706106112.408212,1607,0,1
5,StockLevel,1706106112.409826,729,0,1
2,Payment,1706106112.410560,790,0,1
2,Payment,1706106112.411356,757,0,1
4,Delivery,1706106112.412119,5568,0,1
2,Payment,1706106112.417694,1554,0,1
2,Payment,1706106112.419254,786,0,1
2,Payment,1706106112.420046,1587,0,1
1,NewOrder,1706106112.421640,3123,0,1
1,NewOrder,1706106112.424769,2740,0,1
2,Payment,1706106112.427516,1647,0,1
1,NewOrder,1706106112.429169,1999,0,1
1,NewOrder,1706106112.431174,1757,0,1
2,Payment,1706106112.432936,1667,0,1
1,NewOrder,1706106112.434610,2780,0,1
2,Payment,1706106112.437396,1645,0,1
1,NewOrder,1706106112.439047,1855,0,1
3,OrderStatus,1706106112.440908,1172,0,1
5,StockLevel,1706106112.442086,659,0,1
1,NewOrder,1706106112.442751,2148,0,1
5,StockLevel,1706106112.444905,970,0,1
1,NewOrder,1706106112.445886,3430,0,1
1,NewOrder,1706106112.449358,2954,0,1
2,Payment,1706106112.452327,798,0,1
1,NewOrder,1706106112.453129,2730,0,1
2,Payment,1706106112.455862,1547,0,1
2,Payment,1706106112.457413,821,0,1
2,Payment,1706106112.458239,1627,0,1
2,Payment,1706106112.459870,1563,0,1
1,NewOrder,1706106112.461436,2293,0,1
2,Payment,1706106112.463733,1588,0,1
2,Payment,1706106112.465325,820,0,1
2,Payment,1706106112.466148,1535,0,1
2,Payment,1706106112.467687,776,0,1
1,NewOrder,1706106112.468467,2194,0,1
1,NewOrder,1706106112.470665,2378,0,1
2,Payment,1706106112.473046,787,0,1
1,NewOrder,1706106112.473838,3210,0,1
2,Payment,1706106112.477052,797,0,1
2,Payment,1706106112.477853,778,0,1
1,NewOrder,1706106112.478635,3580,0,1
2,Payment,1706106112.482219,853,0,1
1,NewOrder,1706106112.483076,2557,0,1
2,Payment,1706106112.485637,1651,0,1
1,NewOrder,1706106112.487292,1912,0,1
3,OrderStatus,1706106112.489208,435,0,1
1,NewOrder,1706106112.489650,1924,0,1
1,NewOrder,1706106112.491578,1678,0,1
1,NewOrder,1706106112.493260,3020,0,1
2,Payment,1706106112.496286,812,0,1
1,NewOrder,1706106112.497102,1630,0,1
1,NewOrder,1706106112.498736,2410,0,1
2,Payment,1706106112.501150,1605,0,1
2,Payment,1706106112.502759,769,0,1
1,NewOrder,1706106112.503531,2169,0,1
1,NewOrder,1706106112.505704,2851,0,1
2,Payment,1706106112.508559,1616,0,1
2,Payment,1706106112.510180,1582,0,1
1,NewOrder,1706106112.511766,2971,0,1
1,NewOrder,1706106112.514742,1972,0,1
1,NewOrder,1706106112.516717,1527,0,1
1,NewOrder,1706106112.518249,3283,0,1
2,Payment,1706106112.521535,787,0,1
2,Payment,1706106112.522326,779,0,1
5,StockLevel,1706106112.523109,835,0,1
1,NewOrder,1706106112.523947,2494,0,1
1,NewOrder,1706106112.526444,2606,0,1
1,NewOrder,1706106112.529055,2460,0,1
2,Payment,1706106112.531518,1573,0,1
2,Payment,1706106112.533095,1657,0,1
2,Payment,1706106112.534757,1580,0,1
1,NewOrder,1706106112.536340,2476,0,1
2,Payment,1706106112.538821,1626,0,1
1,NewOrder,1706106112.540451,2430,0,1
1,NewOrder,1706106112.542885,2120,0,1
1,NewOrder,1706106112.545008,2334,0,1
2,Payment,1706106112.547346,786,0,1
1,NewOrder,1706106112.548137,2902,0,1
2,Payment,1706106112.551042,792,0,1
1,NewOrder,1706106112.551838,1782,0,1
1,NewOrder,1706106112.553624,3143,0,1
2,Payment,1706106112.556771,770,0,1
1,NewOrder,1706106112.557544,3228,0,1
1,NewOrder,1706106112.560776,2485,0,1
2,Payment,1706106112.563265,1597,0,1
2,Payment,1706106112.564866,775,0,1
1,NewOrder,1706106112.565645,2634,0,1
1,NewOrder,1706106112.568283,2482,0,1
1,NewOrder,1706106112.570769,3212,0,1
1,NewOrder,1706106112.573985,2902,0,1
2,Payment,1706106112.576891,1528,0,1
1,NewOrder,1706106112.578423,2342,0,1
2,Payment,1706106112.580770,1614,0,1
2,Payment,1706106112.582388,1590,0,1
1,NewOrder,1706106112.583982,2969,0,1
1,NewOrder,1706106112.586956,2783,0,1
3,OrderStatus,1706106112.589745,1166,0,1
5,StockLevel,1706106112.590915,989,0,1
1,NewOrder,1706106112.591908,2081,0,1
1,NewOrder,1706106112.593996,4598,0,1
