Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1706454331.365783,1865,0,1
1,NewOrder,1706454331.367656,1790,0,1
2,Payment,1706454331.369452,1747,0,1
1,NewOrder,1706454331.371205,2148,0,1
1,NewOrder,1706454331.373359,3197,0,1
2,Payment,1706454331.376563,1673,0,1
2,Payment,1706454331.378243,1882,0,1
2,Payment,1706454331.380132,807,0,1
1,NewOrder,1706454331.380947,2649,0,1
2,Payment,1706454331.383602,793,0,1
2,Payment,1706454331.384403,1671,0,1
2,Payment,1706454331.386080,1609,0,1
2,Payment,1706454331.387696,1563,0,1
1,NewOrder,1706454331.389266,2336,0,1
1,NewOrder,1706454331.391608,3771,0,1
1,NewOrder,1706454331.395387,1845,0,1
2,Payment,1706454331.397239,1659,0,1
1,NewOrder,1706454331.398904,2208,0,1
1,NewOrder,1706454331.401119,3033,0,1
1,NewOrder,1706454331.404159,3154,0,1
1,NewOrder,1706454331.407327,3533,0,1
2,Payment,1706454331.410871,1692,0,1
3,OrderStatus,1706454331.412570,1263,0,1
2,Payment,1706454331.413840,1613,0,1
1,NewOrder,1706454331.415460,2320,0,1
1,NewOrder,1706454331.417787,2713,0,1
1,NewOrder,1706454331.420506,2468,0,1
4,Delivery,1706454331.422981,5613,0,1
5,StockLevel,1706454331.428601,1097,0,1
1,NewOrder,1706454331.429704,3898,0,1
1,NewOrder,1706454331.433612,4058,0,1
2,Payment,1706454331.437687,1001,0,1
2,Payment,1706454331.438702,1754,0,1
1,NewOrder,1706454331.440467,3094,0,1
1,NewOrder,1706454331.443581,3792,0,1
2,Payment,1706454331.447396,1991,0,1
1,NewOrder,1706454331.449405,2101,0,1
3,OrderStatus,1706454331.451522,698,0,1
1,NewOrder,1706454331.452231,3672,0,1
1,NewOrder,1706454331.455922,2410,0,1
3,OrderStatus,1706454331.458347,513,0,1
1,NewOrder,1706454331.458870,3126,0,1
3,OrderStatus,1706454331.462007,1160,0,1
2,Payment,1706454331.463176,840,0,1
1,NewOrder,1706454331.464023,2165,0,1
2,Payment,1706454331.466198,1740,0,1
4,Delivery,1706454331.467946,5455,0,1
2,Payment,1706454331.473408,878,0,1
2,Payment,1706454331.474293,1639,0,1
2,Payment,1706454331.475939,794,0,1
2,Payment,1706454331.476739,755,0,1
1,NewOrder,1706454331.477522,3073,0,1
3,OrderStatus,1706454331.480601,1231,0,1
2,Payment,1706454331.481839,1680,0,1
2,Payment,1706454331.483528,1794,0,1
5,StockLevel,1706454331.485330,1136,0,1
1,NewOrder,1706454331.486473,2457,0,1
2,Payment,1706454331.488939,1809,0,1
1,NewOrder,1706454331.490759,3915,0,1
2,Payment,1706454331.494685,830,0,1
1,NewOrder,1706454331.495523,2424,0,1
1,NewOrder,1706454331.497953,2706,0,1
1,NewOrder,1706454331.500665,1882,0,1
1,NewOrder,1706454331.502554,3439,0,1
2,Payment,1706454331.505999,821,0,1
1,NewOrder,1706454331.506826,1917,0,1
1,NewOrder,1706454331.508749,2741,0,1
2,Payment,1706454331.511496,771,0,1
2,Payment,1706454331.512274,771,0,1
3,OrderStatus,1706454331.513051,1164,0,1
2,Payment,1706454331.514222,797,0,1
1,NewOrder,1706454331.515026,2273,0,1
2,Payment,1706454331.517307,1728,0,1
1,NewOrder,1706454331.519043,2427,0,1
1,NewOrder,1706454331.521477,2544,0,1
2,Payment,1706454331.524028,1765,0,1
2,Payment,1706454331.525802,793,0,1
2,Payment,1706454331.526601,773,0,1
1,NewOrder,1706454331.527381,1917,0,1
1,NewOrder,1706454331.529304,3550,0,1
2,Payment,1706454331.532862,807,0,1
2,Payment,1706454331.533675,1673,0,1
1,NewOrder,1706454331.535355,1829,0,1
1,NewOrder,1706454331.537190,3258,0,1
2,Payment,1706454331.540455,1666,0,1
1,NewOrder,1706454331.542127,2063,0,1
3,OrderStatus,1706454331.544197,1156,0,1
1,NewOrder,1706454331.545360,2791,0,1
2,Payment,1706454331.548158,1619,0,1
2,Payment,1706454331.549784,870,0,1
2,Payment,1706454331.550661,799,0,1
1,NewOrder,1706454331.551467,3455,0,1
2,Payment,1706454331.554928,1613,0,1
2,Payment,1706454331.556548,774,0,1
